ARTNO,ARTNAME_UNICODE,SLID_P,SLID_H,MSL,COMPLETE_CAP_INCL_FLEX,SGF_STOCK,MOVED_QTY,FULL_PALLET,OPEN_PICK_QTY
20383521,LACK wll shlf 190x26 white stained oak effect,010710,010710,1,13,0,11,0,0
10401931,BILLY NNN bookcs 40x40x202 white,013300,013300,1,22,66,22,1,0
90263836,BILLY NNN bookcs 40x28x202 black-brown,014800,014800,1,26,26,19,0,5
40263848,BILLY NNN bookcs 80x28x202 black-brown,015200,015200,2,54,0,18,1,0
00275674,OXBERG panel/gls dr 40x192 black-brown,015510,015510,1,29,0,22,0,1
80269122,DETOLF N gls-dr cb 43x163 white,016000,016000,2,54,18,18,1,0
20409936,KALLAX shelving unit 112x147 black-brown,031410,031410,2,12,120,6,1,1
00361493,HAMMARN sb 120 Knisa dark grey/black GB,040600,040600,1,13,9,9,1,0
70278725,LUR�Y slat bd bse Stan Si GB,060000,060000,1,216,0,72,1,0
70278725,LUR�Y slat bd bse Stan Si GB,060000,060000,1,216,0,72,1,0
00392041,BRIMNES N chest/3 drw 78x95 white/frosted glass,060200,060200,1,16,24,8,1,0
90392046,BRIMNES N chest/4 drw 78x124 white/frosted glass,060500,060500,2,16,114,6,1,0
80532009,SKRUVBY side tbl 40x32 white,062710,062710,2,46,40,40,1,0
90246328,KOMPL N drawer 75x58 wso eff,062810,062810,1,20,0,20,0,0
30285153,LAPPLAND TV stor ut 183x39x147 black-brown,070700,070700,1,6,12,6,1,0
50245953,BEST� frame 120x40x64 black-brown,070800,070800,1,16,16,16,1,0
30404820,MALM N ottoman bed Stan Dbl white GB,080400,080400,1,6,21,3,1,1
10263802,HEMNES N bed frm Stan Dbl white stain GB,080500,080500,1,8,24,8,1,0
30278727,LUR�Y slat bd bse Stan Kg GB,100100,100100,1,135,0,54,1,2
80261102,MALM N bed frm high Stan Dbl white GB,100300,100300,2,12,36,6,1,5
20263118,MALM N bed frm high Stan Dbl wsov GB,100600,100600,2,12,6,6,1,0
